商家名称,商家地址,纬度,经度,营业时间,评价,评价数
CoCo都可(爱琴海店),天津市河东区琳科东路68号（爱琴海购物公园）6F608号房,39.121929,117.2559,['10:00/21:30'],4.9,218
CoCo都可(社会山店),天津市西青区张家窝知景道198号6栋1层160、161号,39.05021,117.04869,['10:00/21:00'],4.9,148
CoCo都可（陆家嘴店）,天津市红桥区大丰路25-29（单）号陆家嘴中心B1层B113单元,39.147511,117.172138,['10:00/21:00'],4.9,391
COSTA咖啡(天津今晚报大厦店),天津市南开区南京路358号今晚报大厦一层大堂,39.12379,117.17552,['07:45/17:30'],5,55
COSTA咖啡(天津佛罗伦萨店),天津市武清区前进道北侧佛罗伦萨小镇BAR-N1,39.3763,117.01622,['10:00/20:00'],5,37
COSTA咖啡(天津国贸凯德店),天津市河西区南京路39号01层16/17号,39.11384,117.2164,['09:00/21:00'],5,48
COSTA咖啡(天津水游城店),天津市红桥区大丰路以西、芥园道北侧（大丰路18号）AF1-N12,39.14909,117.16997,['10:00/22:00'],4.8,35
COSTA咖啡(天津熙悦汇店),天津市南开区密云路西侧一层9号商铺,39.136969,117.12508,['10:00/22:00'],4.9,108
DIY板烧公社,天津市武清区杨村街泉州北路荔隆广场3楼3004,39.389868,117.062406,"['10:30/14:30', '17:00/20:30']",5,0
DM分米鸡,天津市西青区精武镇付村华木里商业街A112号-1,39.053692,117.121573,['10:00/22:00'],3.6,6
DQ冰淇淋（天津南门外大街一店）,天津市南开区南开门外大街2号的天津大悦城购物中心【2F-D11】,39.13559,117.180337,['10:00/21:30'],4.9,128
DQ冰淇淋（天津友谊南路店）,天津市西青经济开发区友谊南路111号A区1层144号,39.02894,117.21921,['10:00/21:00'],4.9,50
DQ冰淇淋（天津友谊新天地店）,天津市和平区劝业场街滨江道208号友谊喜新天地广场负一层A区3号,39.12462,117.19866,['10:00/20:40'],4.9,63
"EASY 西餐吧(河北店)",天津市河北区铁东路街宁宇家园9号楼/配3-202,39.17999,117.20861,['11:00/21:00'],4.6,53
EL轻食.健身减脂餐(亿城堂庭店),天津市红桥区西于庄街道勤俭道172、190号205,39.171033,117.154036,['08:35/19:20'],4.8,217
EL轻食·健身减脂餐(佳园东里店),天津市红桥区双环村佳园东里28-3-106,39.19401,117.137727,['08:30/19:00'],4.6,211
FishandChips薯鱼(世纪都会店),天津市和平区五大道街南京路181、183号世纪都会负一层B125号,39.117462,117.199225,['10:30/21:30'],4.7,407
"Fresh Flower shop",天津市南开区南丰路兴泰南里兴泰路市场外底商2号,39.11939,117.164077,['02:00/21:00'],5,3
"He kitchen&co",天津市河西区吴家窑大街与卫津路交口君禧华庭配建4-121号底商,39.098065,117.18056,['10:00/22:00'],4.9,110
HEERETEA东喜茶,天津市北辰区青光镇辰盛路与光荣道交口处,39.189354,117.118794,['11:45/23:55'],4.7,36
HeyJuice茶桔便(南开红磡公寓店),天津市南开区万兴街双峰道红蹦公寓2号楼底商,39.118117,117.171021,['10:00/21:30'],4.8,229
HeyJuice茶桔便(鞍山西道店),天津市南开区鞍山西道285号内1号,39.114519,117.161139,['10:00/22:00'],5,20
HOLD住时尚麻辣香锅,天津市红桥区丁字沽一号路四新道50号,39.178243,117.157115,['10:35/22:30'],4.5,1011
ifcha·一夫茶(大学城店),天津市西青区精武镇景福花园智达里4-1-102-1,39.055,117.114543,"['09:00/14:00', '15:00/22:00']",4.7,296
"IM CHOCOLATE COFFEE",天津市河西区环湖中路滨湖大厦902,39.087251,117.185768,['10:00/22:00'],5,3
"In 茶(大学城店)",天津市西青区精武镇付村路星期八小镇商业街A22号,39.053877,117.122998,['10:00/21:00'],4.4,312
